ts,old_speed,new_speed,new_is_stale,new_is_stat
1773243205000,36.55,29.34,true,false
1773243212000,38.46,31.77,false,false
1773243216000,39.98,33.24,false,false
1773243220000,39.98,33.24,true,false
1773243224000,31.88,33.78,false,false
1773243228000,27.83,30.42,false,false
1773243231000,27.83,30.42,true,false
1773243234000,0.00,24.69,false,false
1773243239000,0.00,15.61,false,false
1773243242000,0.00,15.61,true,false
1773243244000,0.00,15.61,true,false
1773243247000,0.00,15.61,true,false
1773243249000,0.00,15.61,true,false
1773243256000,0.00,10.01,false,false
1773243260000,6.36,8.82,false,false
1773243265000,13.23,8.80,false,false
1773243269000,13.23,8.80,true,false
1773243272000,18.80,9.89,false,false
1773243277000,27.57,12.14,false,false
1773243285000,31.53,19.58,false,false
1773243290000,31.01,24.24,false,false
1773243300000,13.51,19.92,false,false
1773243306000,3.85,13.50,false,false
1773243310000,3.85,10.27,false,false
1773243316000,6.76,8.86,false,false
1773243321000,6.76,8.86,true,false
1773243326000,6.10,9.14,false,false
1773243331000,9.44,8.69,false,false
1773243334000,12.94,9.70,false,false
1773243336000,12.94,9.70,true,false
1773243341000,0.00,6.07,false,false
1773243346000,0.00,6.03,false,false
1773243350000,9.59,8.45,false,false
1773243352000,9.59,8.45,true,false
1773243356000,6.86,8.53,false,false
1773243362000,5.07,6.89,false,false
1773243365000,8.35,7.37,false,false
1773243367000,8.35,7.82,false,false
1773243370000,0.00,7.82,true,false
1773243372000,0.00,7.15,false,false
1773243374000,0.00,7.15,true,false
1773243376000,0.00,7.15,true,false
1773243380000,0.00,7.15,true,false
1773243382000,0.00,7.15,true,false
1773243389000,0.00,7.15,true,false
1773243391000,0.00,7.15,true,false
1773243398000,0.00,7.15,true,false
1773243401000,0.00,7.15,true,false
1773243406000,0.00,7.15,true,false
1773243408000,0.00,5.08,false,false
1773243413000,0.00,3.79,false,false
1773243417000,0.00,3.79,true,false
1773243422000,0.00,2.86,false,false
1773243425000,0.00,2.29,false,false
1773243427000,0.00,2.29,true,false
1773243431000,0.00,2.29,true,false
