ts,lat,lng,raw_speed,smooth_speed
1773243993000,64.14068265,-21.8166,28.11,25.66
1773244024000,64.13949855,-21.8182753333333,17.97,21.40
1773244049000,64.1383682666667,-21.8166145,21.50,23.75
1773244073000,64.13698145,-21.812908,35.53,25.26
1773244090000,64.1368683666667,-21.8107081666667,22.75,20.72
1773244173000,64.1365536833333,-21.8073898333333,7.14,14.97
1773244230000,64.1356759166667,-21.8020866666667,17.38,15.85
1773244260000,64.1347756166667,-21.7982166666667,25.53,21.57
1773244295000,64.13531145,-21.7933158333333,25.21,24.17
1773244335000,64.1376840833333,-21.791135,25.58,23.60
1773244360000,64.1389846833333,-21.7895013333333,23.75,20.95
1773244408000,64.1393185333333,-21.7849391666667,16.83,19.99
1773244443000,64.13964265,-21.7804768333333,22.57,20.62
1773244470000,64.1387574166667,-21.7770541666667,25.73,21.50
1773244496000,64.1382249833333,-21.7744051666667,19.59,16.72
1773244576000,64.1393662333333,-21.7721835,7.49,24.36
1773244621000,64.14490005,-21.7742223333333,49.86,19.82
1773245108000,64.1386216666667,-21.7766666666667,5.23,40.18
1773245110000,64.1388816666667,-21.7772333333333,71.80,31.90
1773245117000,64.13917,-21.7779166666667,23.72,37.45
1773245124000,64.1394416666667,-21.7785833333333,22.76,24.87
1773245129000,64.1396383333333,-21.7793833333333,32.07,32.12
1773245133000,64.1396566666667,-21.78045,46.60,46.94
1773245135000,64.1395933333333,-21.7812333333333,69.55,37.07
1773245149000,64.13958,-21.7813,0.91,31.18
1773245153000,64.1395033333333,-21.7819166666667,27.99,16.02
1773245160000,64.139425,-21.7827666666667,21.67,30.68
1773245167000,64.13934,-21.78465,47.23,30.89
1773245173000,64.1393216666667,-21.7856333333333,28.64,31.80
1773245180000,64.1393383333333,-21.7866166666667,24.55,27.96
1773245185000,64.139385,-21.7876166666667,35.12,30.15
1773245190000,64.1394016666667,-21.7886333333333,35.53,29.07
1773245195000,64.1394383333333,-21.7892333333333,21.16,18.26
1773245198000,64.1394383333333,-21.78925,0.97,7.78
1773245207000,64.1394183333333,-21.7893666666667,2.43,6.32
1773245214000,64.139135,-21.7895,16.54,13.40
1773245221000,64.1387333333333,-21.7896666666667,23.34,24.80
1773245226000,64.1382833333333,-21.79005,38.43,29.24
1773245231000,64.13797,-21.79055,30.56,36.82
1773245234000,64.1376966666667,-21.7910666666667,47.27,33.53
1773245240000,64.13738,-21.7917,28.04,37.71
1773245246000,64.13682,-21.7924833333333,43.77,27.92
1773245254000,64.13652,-21.7927833333333,16.38,27.60
1773245260000,64.1361283333333,-21.7930166666667,27.00,40.63
1773245262000,64.1357116666667,-21.7932,84.92,39.31
1773245266000,64.1355916666667,-21.79325,12.21,31.15
1773245275000,64.135565,-21.7932666666667,1.23,9.12
1773245280000,64.1353766666667,-21.79335,15.36,12.15
1773245284000,64.1351633333333,-21.79345,21.79,16.04
1773245292000,64.1349133333333,-21.7936833333333,13.51,30.33
1773245295000,64.1345783333333,-21.7943833333333,60.49,28.48
1773245305000,64.134415,-21.7952166666667,15.95,48.69
1773245307000,64.1343883333333,-21.7961,77.32,36.40
1773245314000,64.1344966666667,-21.7969333333333,21.69,47.56
1773245317000,64.1346966666667,-21.7976833333333,51.17,26.92
1773245327000,64.13485,-21.7982833333333,12.14,20.55
1773245335000,64.1348616666667,-21.79835,1.57,9.24
1773245341000,64.1349583333333,-21.7988333333333,15.48,11.16
1773245347000,64.1350883333333,-21.7993833333333,18.21,20.75
1773245350000,64.1352,-21.7998666666667,31.84,21.59
1773245357000,64.1353416666667,-21.8005166666667,18.13,32.95
1773245360000,64.135535,-21.8013333333333,54.09,31.02
1773245365000,64.1356866666667,-21.8019833333333,25.75,29.73
1773245371000,64.13578,-21.8024166666667,14.07,12.90
1773245385000,64.1357933333333,-21.8024833333333,0.91,14.42
1773245389000,64.1359066666667,-21.8031333333333,30.56,18.95
1773245395000,64.1360516666667,-21.80405,28.38,45.12
